station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,15.2069529762,,,2018-07-08T12:52:23.645000Z,2018-07-08T12:52:22.068491Z,2018-07-08T12:52:24.835397Z,46.5179078625,5.0,18.098239379,17.3648462269
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,21.0316292592,2018-07-04T19:51:28.579002Z,2018-07-04T19:51:31.844001Z,2018-07-08T12:52:22.650000Z,2018-07-08T12:52:22.552700Z,2018-07-08T12:52:26.357195Z,12.581124653,10.4853617374,22.7937522365,22.8589610265
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.1174634832,2018-07-04T19:51:26.461997Z,2018-07-04T19:51:28.161003Z,2018-07-08T12:52:20.495000Z,2018-07-08T12:52:20.547013Z,2018-07-08T12:52:22.397045Z,33.4897775925,20.9474597363,13.0496829835,12.0722504738
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,3.906019493,2018-07-04T19:51:25.926002Z,,2018-07-08T12:52:19.950000Z,2018-07-08T12:52:19.889553Z,2018-07-08T12:52:21.480523Z,34.9488428503,9.20996426338,10.9129116056,10.0076229165
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.69133034299,2018-07-04T19:51:26.386001Z,2018-07-04T19:51:27.697998Z,2018-07-08T12:52:20.405000Z,2018-07-08T12:52:20.408683Z,2018-07-08T12:52:22.242883Z,32.235312914,6.25572170853,11.9194430467,11.3109938966
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,18.6007432299,2018-07-04T19:51:28.649002Z,2018-07-04T19:51:30.471000Z,2018-07-08T12:52:23.530000Z,2018-07-08T12:52:22.621872Z,2018-07-08T12:52:26.426368Z,15.0512965275,15.3419047238,20.7224139586,20.6574043805
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,16.7665685568,2018-07-04T19:51:28.125999Z,2018-07-04T19:51:30.958999Z,2018-07-08T12:52:22.165000Z,2018-07-08T12:52:22.033905Z,2018-07-08T12:52:25.146674Z,18.1347176585,19.5820128844,18.9736975976,18.7760421878
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,10.3717663655,2018-07-04T19:51:26.997001Z,,2018-07-08T12:52:21.020000Z,2018-07-08T12:52:20.961729Z,2018-07-08T12:52:23.486530Z,41.9908256917,18.7602087186,14.869275794,13.75880732
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,22.3313022613,,,2018-07-08T12:52:23.785000Z,2018-07-08T12:52:23.002322Z,2018-07-08T12:52:27.256440Z,55.5970299572,15.9279488333,24.9888895256,24.1022851307
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,9.12310218398,2018-07-04T19:51:26.652000Z,2018-07-04T19:51:28.660003Z,2018-07-08T12:52:20.715000Z,2018-07-08T12:52:20.754211Z,2018-07-08T12:52:22.829390Z,41.8754274563,9.25563953373,13.652548037,12.7005371155
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,13.5377353076,,,2018-07-08T12:52:21.545000Z,2018-07-08T12:52:21.445937Z,2018-07-08T12:52:24.109084Z,46.6999282514,9.90629395051,17.0400693151,16.1305503272
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,29.0077733721,,,,2018-07-08T12:52:24.160575Z,2018-07-08T12:52:28.729443Z,5.00027217763,7.32891868867,29.9854910722,30.2108260711
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,9.64219887868,2018-07-04T19:51:26.924003Z,2018-07-04T19:51:28.502998Z,2018-07-08T12:52:21.100000Z,2018-07-08T12:52:20.961729Z,2018-07-08T12:52:22.933149Z,25.7030673168,18.5278616705,13.8076080021,13.2343412241
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,3.58708899231,2018-07-04T19:51:25.819000Z,2018-07-04T19:51:27.181999Z,2018-07-08T12:52:19.840000Z,2018-07-08T12:52:19.854966Z,2018-07-08T12:52:20.996315Z,37.0655387014,12.9816726702,11.0042721209,9.88018458944
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,8.57093457688,2018-07-04T19:51:26.570999Z,2018-07-04T19:51:27.605003Z,2018-07-08T12:52:20.580000Z,2018-07-08T12:52:20.512106Z,2018-07-08T12:52:22.656458Z,25.6740957037,9.29402927598,12.8605930528,12.4855506673
